Feature Category,Feature Type,Northing,Easting,Elevation,Condition,Activated,Corridor ID
Roadway,EP,200550.1947,1033393.927,53.8821,0,1,0
Roadway,EP,200550.5235,1033380.98,53.648,0,1,0
Roadway,EP,200550.524,1033380.98,53.648,0,1,0
Roadway,EP,200550.5242,1033380.955,53.6475,0,1,0
Roadway,EP,200550.696,1033373.986,53.511,0,1,0
Roadway,EP,200550.6956,1033373.986,53.511,0,1,0
Roadway,EP,200550.8238,1033349.012,52.8845,0,1,0
Roadway,EP,200550.824,1033348.991,52.884,0,1,0
Roadway,EP,200550.8239,1033348.991,52.884,0,1,0
Roadway,EP,200550.8237,1033348.969,52.8833,0,1,0
Roadway,EP,200550.5837,1033324.361,52.152,0,1,0
Roadway,EP,200550.584,1033324.361,52.152,0,1,0
Roadway,EP,200550.583,1033324.309,52.1506,0,1,0
Roadway,EP,200550.244,1033299.353,51.488,0,1,0
Roadway,EP,200550.2435,1033299.353,51.488,0,1,0
Roadway,EP,200550.2401,1033299.257,51.4855,0,1,0
Roadway,EP,200549.6941,1033283.724,51.0813,0,1,0
Roadway,EP,200549.3656,1033274.382,50.8383,0,1,0
Roadway,EP,200549.365,1033274.373,50.838,0,1,0
Roadway,EP,200549.3653,1033274.373,50.838,0,1,0
Roadway,EP,200549.3647,1033274.363,50.8377,0,1,0
Roadway,EP,200548.7038,1033262.639,50.5384,0,1,0
Roadway,EP,200547.9623,1033249.486,50.2027,0,1,0
Roadway,EP,200547.959,1033249.421,50.201,0,1,0
Roadway,EP,200547.9587,1033249.421,50.201,0,1,0
Roadway,EP,200547.416,1033242.448,50.0122,0,1,0
Roadway,EP,200546.622,1033232.251,49.736,0,1,0
Roadway,EP,200546.6225,1033232.251,49.736,0,1,0
Roadway,EP,200546.6209,1033232.236,49.7357,0,1,0
Roadway,EP,200544.088,1033207.359,49.145,0,1,0
Roadway,EP,200544.0881,1033207.359,49.145,0,1,0
Roadway,EP,200544.0879,1033207.357,49.145,0,1,0
Roadway,EP,200542.5645,1033192.393,48.8147,0,1,0
Roadway,EP,200542.3658,1033190.442,48.7717,0,1,0
Roadway,EP,200541.7409,1033184.305,48.6294,0,1,0
Roadway,EP,200541.6114,1033183.032,48.5999,0,1,0
Roadway,EP,200541.461,1033181.555,48.5643,0,1,0
Roadway,EP,200541.1399,1033178.401,48.4882,0,1,0
Roadway,EP,200540.8471,1033175.525,48.4156,0,1,0
